Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks,tfidf_vendor_score,vendor_match_quality,confidence_score,score_po,score_vendor,score_amount,score_date,score_currency,decision
1,1000,1000,4500100001,0010,NB,Cement Bags 50kg,1000013,ASPNT,Manufacturing,5000100001,2025-01-08,2025,106.632,1359345.2,Asian Paints Ltd,5100200001,2025-02-24,1359345.19,ASIAN PAINTS,0.0,0.0,-0.01,INR,1004,CC-IT-002,400500,NT45,82,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
2,1000,2000,4500100002,0050,ZSER,Industrial Chemicals,1000013,ASPNT,Manufacturing,5000100002,2024-10-24,2024,94.339,462360.46,Asian Paints Ltd,5100200002,2024-11-17,462350.46,Asian Paints Limited,0.0,0.0,-10.0,INR,1002,CC-IT-002,400400,NT30,158,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
7,1000,2000,4500100007,0030,ZSER,Software License Fee,1000002,INFY,IT Services,5000100007,2024-12-21,2024,44.502,1511445.14,Infosys Limited,5100200007,2024-12-27,1511455.14,Infosys,0.0,0.0,10.0,INR,1003,CC-HR-004,400400,NT45,100,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
8,1000,2000,4500100008,0030,NB,Chemical Compounds,1000009,RIL,Manufacturing,5000100008,2024-12-15,2024,82.457,3444014.55,Reliance Industries Ltd,5100200008,2025-01-28,3444015.55,RIL,0.0,0.0,1.0,INR,1001,CC-MFG-005,400300,IMMED,106,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
9,1000,2000,4500100009,0020,NB,Industrial Chemicals,1000013,ASPNT,Manufacturing,5000100009,2024-12-07,2024,131.776,768714.52,Asian Paints Ltd,5100200009,2025-02-01,768724.52,Asian Paints Ltd.,0.0,0.0,10.0,INR,1003,CC-IT-002,400300,NT60,114,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
10,1000,1000,4500100010,0020,ZNB,Cybersecurity Services,1000001,TCSL,IT Services,5000100010,2024-11-23,2024,53.517,6482985.59,Tata Consultancy Services Ltd,5100200010,2025-01-03,6353325.88,Tata Consultancy Services,129659.71,0.0,-129659.71,INR,1001,CC-MFG-005,400500,IMMED,128,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,90.8,35.0,25.0,18.8,7.0,5.0,AUTO-CLEAR
12,1000,2000,4500100012,0020,ZSER,Engineering Consultancy,1000015,ABB,Engineering,5000100012,2024-12-05,2024,42.315,1429749.14,ABB India Limited,5100200012,2025-02-15,1429749.14,ABB India,0.0,0.0,0.0,INR,1003,CC-IT-002,400200,NT15,116,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,94.0,35.0,25.0,25.0,4.0,5.0,AUTO-CLEAR
13,1000,1000,4500100013,0010,ZSER,Electrical Equipment,1000016,BSCH,Engineering,5000100013,2024-12-25,2024,159.457,67242.33,Bosch Limited,5100200013,2025-02-07,67242.33,Bosch Limited,0.0,0.0,0.0,USD,1004,CC-IT-002,400100,NT15,96,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
14,1000,1000,4500100014,0040,NB,IT Consulting Services,1000001,TCSL,IT Services,5000100014,2024-10-14,2024,69.136,1633278.45,Tata Consultancy Services Ltd,5100200014,2024-12-03,1633278.45,Tata Consultancy Services Ltd,0.0,0.0,0.0,INR,1003,CC-HR-004,400300,IMMED,168,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
15,1000,2000,4500100015,0030,ZSER,Software License Fee,1000008,HEXW,IT Services,5000100015,2025-02-22,2025,183.843,4829459.17,Hexaware Technologies Ltd,5100200015,2025-04-07,4829459.17,Hexaware Technologies Ltd,0.0,0.0,0.0,INR,1002,CC-FIN-001,400400,NT60,37,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
