Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks,tfidf_vendor_score,vendor_match_quality,confidence_score,score_po,score_vendor,score_amount,score_date,score_currency,decision
3,1000,2000,4500100003,0020,NB,Equipment Maintenance,1000017,HAVL,Electrical,5000100003,2025-01-23,2025,119.488,2949947.66,Havells India Ltd,NOT RECEIVED,,,-,0.0,0.0,,INR,1002,CC-MFG-005,400400,NT45,67,61-90 Days,MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
22,1000,1000,4500100022,0040,NB,Cloud Hosting Charges,1000008,HEXW,IT Services,5000100022,2024-11-15,2024,168.339,7378016.94,Hexaware Technologies Ltd,NOT RECEIVED,,,-,0.0,0.0,,INR,1004,CC-IT-002,400100,NT45,136,>90 Days (Critical),MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
37,1000,2000,4500100037,0050,ZNB,Network Support Services,1000007,MPHL,IT Services,5000100037,2025-01-05,2025,118.831,424734.94,Mphasis Limited,5100200037,2025-01-28,424734.94,MPHASIS LIMITED,0.0,0.0,424734.94,INR,1002,CC-FIN-001,400200,NT15,85,61-90 Days,DUPLICATE IR RISK,Possible duplicate invoice - check doc 5100200038,,,,,1.0,HIGH,30.0,35.0,25.0,25.0,9.0,5.0,ESCALATE
47,1000,2000,4500100047,0020,ZSER,Mechanical Parts,1000018,BEL,Defence,5000100047,2025-02-24,2025,75.502,2538626.97,Bharat Electronics Ltd,NOT RECEIVED,,,-,0.0,0.0,,INR,1004,CC-MFG-005,400400,NT45,35,31-60 Days,MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
49,1000,2000,4500100049,0010,NB,Annual Maintenance Contract,1000002,INFY,IT Services,5000100049,2025-03-01,2025,149.202,37862.53,Infosys Limited,5100200050,2025-03-04,37862.53,INFOSYS LIMITED,0.0,0.0,37862.53,USD,1002,CC-IT-002,400100,IMMED,30,0-30 Days,DUPLICATE IR RISK,Possible duplicate invoice - check doc 5100200051,,,,,1.0,HIGH,30.0,35.0,25.0,25.0,9.0,5.0,ESCALATE
91,1000,1000,4500100091,0020,ZNB,Steel Plates 10mm,1000013,ASPNT,Manufacturing,5000100091,2025-03-22,2025,12.963,535885.66,Asian Paints Ltd,5100200093,2025-03-26,535885.66,Asian Paint,0.0,0.0,535885.66,INR,1001,CC-MFG-005,400200,NT15,9,0-30 Days,DUPLICATE IR RISK,Possible duplicate invoice - check doc 5100200094,,,,,0.8371,MEDIUM,30.0,35.0,20.9,25.0,9.0,5.0,ESCALATE
93,1000,1000,4500100093,0010,NB,Raw Material Supply,1000012,ULTC,Manufacturing,5000100093,2025-01-10,2025,54.582,33162.96,Ultratech Cement Ltd,5100200096,2025-02-02,33162.96,UltraTech Cement Ltd,0.0,0.0,33162.96,EUR,1001,CC-HR-004,400400,NT15,80,61-90 Days,DUPLICATE IR RISK,Possible duplicate invoice - check doc 5100200097,,,,,1.0,HIGH,30.0,35.0,25.0,25.0,9.0,5.0,ESCALATE
115,1000,2000,4500100115,0020,ZNB,Raw Material Supply,1000009,RIL,Manufacturing,5000100115,2025-03-17,2025,198.546,2647747.52,Reliance Industries Ltd,5100200119,2025-04-15,2647747.52,RELIANCE INDUSTRIES,0.0,0.0,2647747.52,INR,1001,CC-MFG-005,400500,NT60,14,0-30 Days,DUPLICATE IR RISK,Possible duplicate invoice - check doc 5100200120,,,,,1.0,HIGH,30.0,35.0,25.0,25.0,9.0,5.0,ESCALATE
117,1000,1000,4500100117,0010,NB,Mechanical Parts,1000016,BSCH,Engineering,5000100117,2025-01-13,2025,163.457,607547.3,Bosch Limited,NOT RECEIVED,,,-,0.0,0.0,,INR,1003,CC-IT-002,400100,IMMED,77,61-90 Days,MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
119,1000,1000,4500100119,0040,ZNB,Cement Bags 50kg,1000012,ULTC,Manufacturing,5000100119,2024-10-11,2024,187.729,323853.56,Ultratech Cement Ltd,NOT RECEIVED,,,-,0.0,0.0,,INR,1003,CC-HR-004,400200,IMMED,171,>90 Days (Critical),MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
158,1000,2000,4500100158,0040,ZSER,Cybersecurity Services,1000002,INFY,IT Services,5000100158,2024-12-27,2024,180.191,1717936.65,Infosys Limited,NOT RECEIVED,,,-,0.0,0.0,,INR,1001,CC-IT-002,400200,IMMED,94,>90 Days (Critical),MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
159,1000,2000,4500100159,0030,NB,Spare Parts Supply,1000015,ABB,Engineering,5000100159,2024-12-04,2024,11.93,25376.43,ABB India Limited,NOT RECEIVED,,,-,0.0,0.0,,USD,1004,CC-FIN-001,400200,IMMED,117,>90 Days (Critical),MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
187,1000,2000,4500100187,0030,ZNB,Control Panel Supply,1000019,ORCL,Software,5000100187,2024-11-10,2024,114.204,35868.47,Oracle India Pvt Ltd,NOT RECEIVED,,,-,0.0,0.0,,USD,1003,CC-HR-004,400200,NT30,141,>90 Days (Critical),MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,,0.0,LOW,40.0,35.0,0.0,0.0,3.0,5.0,ESCALATE
