gr_document,ir_document,po_number,po_line_item,vendor_code,vendor_name,vendor_invoice,gr_amount,ir_amount,difference,tds_amount,gst_diff,gr_posting_date,ir_posting_date,posting_date,company_code,plant,cost_center,gl_account,currency,payment_terms,aging_days,aging_bucket,discrepancy_flag,discrepancy_reason,confidence_score,tfidf_score,status,sap_clearing_doc,error_msg
5000100001,5100200001,4500100001,0010,1000013,Asian Paints Ltd,ASIAN PAINTS,1359345.2,1359345.19,-0.01,0.0,0.0,2025-01-08 00:00:00,2025-02-24 00:00:00,2026-04-29,1000,1004,CC-IT-002,400500,INR,NT45,82,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19090785811,
5000100002,5100200002,4500100002,0050,1000013,Asian Paints Ltd,Asian Paints Limited,462360.46,462350.46,-10.0,0.0,0.0,2024-10-24 00:00:00,2024-11-17 00:00:00,2026-04-29,1000,1002,CC-IT-002,400400,INR,NT30,158,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19026201948,
5000100007,5100200007,4500100007,0030,1000002,Infosys Limited,Infosys,1511445.14,1511455.14,10.0,0.0,0.0,2024-12-21 00:00:00,2024-12-27 00:00:00,2026-04-29,1000,1003,CC-HR-004,400400,INR,NT45,100,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19072645090,
5000100008,5100200008,4500100008,0030,1000009,Reliance Industries Ltd,RIL,3444014.55,3444015.55,1.0,0.0,0.0,2024-12-15 00:00:00,2025-01-28 00:00:00,2026-04-29,1000,1001,CC-MFG-005,400300,INR,IMMED,106,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19065382954,
5000100009,5100200009,4500100009,0020,1000013,Asian Paints Ltd,Asian Paints Ltd.,768714.52,768724.52,10.0,0.0,0.0,2024-12-07 00:00:00,2025-02-01 00:00:00,2026-04-29,1000,1003,CC-IT-002,400300,INR,NT60,114,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19024624139,
5000100010,5100200010,4500100010,0020,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services,6482985.59,6353325.88,-129659.71,129659.71,0.0,2024-11-23 00:00:00,2025-01-03 00:00:00,2026-04-29,1000,1001,CC-MFG-005,400500,INR,IMMED,128,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),90.8,1.0,CLEARED,19054834548,
5000100012,5100200012,4500100012,0020,1000015,ABB India Limited,ABB India,1429749.14,1429749.14,0.0,0.0,0.0,2024-12-05 00:00:00,2025-02-15 00:00:00,2026-04-29,1000,1003,CC-IT-002,400200,INR,NT15,116,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,94.0,1.0,CLEARED,19084624332,
5000100013,5100200013,4500100013,0010,1000016,Bosch Limited,Bosch Limited,67242.33,67242.33,0.0,0.0,0.0,2024-12-25 00:00:00,2025-02-07 00:00:00,2026-04-29,1000,1004,CC-IT-002,400100,USD,NT15,96,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19038151722,
5000100014,5100200014,4500100014,0040,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,1633278.45,1633278.45,0.0,0.0,0.0,2024-10-14 00:00:00,2024-12-03 00:00:00,2026-04-29,1000,1003,CC-HR-004,400300,INR,IMMED,168,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19067623834,
5000100015,5100200015,4500100015,0030,1000008,Hexaware Technologies Ltd,Hexaware Technologies Ltd,4829459.17,4829459.17,0.0,0.0,0.0,2025-02-22 00:00:00,2025-04-07 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400400,INR,NT60,37,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19006092320,
