Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks,tfidf_vendor_score,vendor_match_quality,confidence_score,score_po,score_vendor,score_amount,score_date,score_currency,decision
4,1000,2000,4500100004,0010,ZNB,Annual Maintenance Contract,1000002,INFY,IT Services,5000100004,2024-12-20,2024,123.861,221477.68,Infosys Limited,5100200004,2025-01-18,283491.43,Infosys Technologies,0.0,62013.75,62013.75,INR,1001,CC-FIN-001,400200,NT30,101,>90 Days (Critical),GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,0.6348,MEDIUM,64.9,35.0,15.9,0.0,9.0,5.0,REVIEW
5,1000,1000,4500100005,0010,ZNB,Software License Fee,1000005,LTI,IT Services,5000100005,2024-11-01,2024,29.589,128360.78,Larsen & Toubro Infotech Ltd,5100200005,2025-02-21,128360.78,L&T Infotech,0.0,0.0,0.0,INR,1003,CC-HR-004,400100,IMMED,150,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,0.4776,LOW,77.9,35.0,11.9,25.0,1.0,5.0,REVIEW
6,1000,1000,4500100006,0010,ZNB,IT Consulting Services,1000008,HEXW,IT Services,5000100006,2024-12-27,2024,44.048,1733550.67,Hexaware Technologies Ltd,5100200006,2025-01-31,433387.67,Hexaware Tech Ltd,0.0,0.0,-1300163.0,INR,1003,CC-FIN-001,400300,IMMED,94,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,0.7234,MEDIUM,65.1,35.0,18.1,0.0,7.0,5.0,REVIEW
11,1000,1000,4500100011,0030,ZNB,Data Migration Services,1000001,TCSL,IT Services,5000100011,2025-02-21,2025,125.654,79370.21,Tata Consultancy Services Ltd,5100200011,2025-03-19,39685.11,TCS Limited,0.0,0.0,-39685.1,EUR,1001,CC-OPS-003,400100,NT30,38,31-60 Days,PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,,1.0,HIGH,74.0,35.0,25.0,0.0,9.0,5.0,REVIEW
17,1000,1000,4500100017,0050,ZSER,Equipment Maintenance,1000014,SIEM,Engineering,5000100017,2024-10-05,2024,46.988,2756678.13,Siemens Ltd,5100200017,2024-11-25,2067508.6,SIEMENS LIMITED,0.0,0.0,-689169.53,INR,1002,CC-OPS-003,400200,NT15,177,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (75% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
26,1000,2000,4500100026,0010,ZSER,Network Support Services,1000001,TCSL,IT Services,5000100026,2024-10-31,2024,131.84,1766029.3,Tata Consultancy Services Ltd,5100200026,2024-12-27,1766031.3,T.C.S. Ltd,0.0,0.0,2.0,INR,1002,CC-IT-002,400200,NT30,151,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.0709,LOW,72.5,35.0,1.8,23.8,7.0,5.0,REVIEW
27,1000,1000,4500100027,0020,NB,Cement Bags 50kg,1000011,JSWS,Manufacturing,5000100027,2024-12-24,2024,124.563,25201.26,JSW Steel Ltd,5100200027,2025-01-27,29737.49,JSW Steel Limited,0.0,4536.23,4536.23,USD,1003,CC-FIN-001,400300,NT30,97,>90 Days (Critical),GST MISMATCH,GST @ 18% included in IR but not in GR,,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
28,1000,2000,4500100028,0030,ZNB,Cloud Hosting Charges,1000003,WIPR,IT Services,5000100028,2025-03-05,2025,139.04,1800094.65,Wipro Limited,5100200028,2025-03-10,900047.32,Wipro Technologies,0.0,0.0,-900047.33,INR,1004,CC-FIN-001,400100,NT15,26,0-30 Days,PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,,0.6198,LOW,64.5,35.0,15.5,0.0,9.0,5.0,REVIEW
30,1000,2000,4500100030,0020,NB,Industrial Chemicals,1000011,JSWS,Manufacturing,5000100030,2024-12-14,2024,199.665,735097.17,JSW Steel Ltd,5100200030,2025-01-08,183774.29,JSW Steel Limited,0.0,0.0,-551322.88,INR,1002,CC-IT-002,400100,NT60,107,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,74.0,35.0,25.0,0.0,9.0,5.0,REVIEW
40,1000,2000,4500100040,0030,NB,IT Consulting Services,1000008,HEXW,IT Services,5000100040,2024-10-18,2024,3.99,147246.96,Hexaware Technologies Ltd,5100200041,2024-12-06,188476.11,Hexaware,0.0,41229.15,41229.15,INR,1001,CC-IT-002,400400,IMMED,164,>90 Days (Critical),GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,0.6901,MEDIUM,64.3,35.0,17.3,0.0,7.0,5.0,REVIEW
