Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks
1,1000,1000,4500100001,0010,NB,Cement Bags 50kg,1000013,ASPNT,Manufacturing,5000100001,2025-01-08,2025,106.632,1359345.2,Asian Paints Ltd,5100200001,2025-02-24,1359345.19,ASIAN PAINTS,0.0,0.0,-0.01,INR,1004,CC-IT-002,400500,NT45,82,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,
2,1000,2000,4500100002,0050,ZSER,Industrial Chemicals,1000013,ASPNT,Manufacturing,5000100002,2024-10-24,2024,94.339,462360.46,Asian Paints Ltd,5100200002,2024-11-17,462350.46,Asian Paints Limited,0.0,0.0,-10.0,INR,1002,CC-IT-002,400400,NT30,158,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,
3,1000,2000,4500100003,0020,NB,Equipment Maintenance,1000017,HAVL,Electrical,5000100003,2025-01-23,2025,119.488,2949947.66,Havells India Ltd,NOT RECEIVED,,,-,0.0,0.0,,INR,1002,CC-MFG-005,400400,NT45,67,61-90 Days,MISSING INVOICE,Goods received but vendor invoice not yet submitted,,,,
4,1000,2000,4500100004,0010,ZNB,Annual Maintenance Contract,1000002,INFY,IT Services,5000100004,2024-12-20,2024,123.861,221477.68,Infosys Limited,5100200004,2025-01-18,283491.43,Infosys Technologies,0.0,62013.75,62013.75,INR,1001,CC-FIN-001,400200,NT30,101,>90 Days (Critical),GST MISMATCH,GST @ 28% included in IR but not in GR,,,,
5,1000,1000,4500100005,0010,ZNB,Software License Fee,1000005,LTI,IT Services,5000100005,2024-11-01,2024,29.589,128360.78,Larsen & Toubro Infotech Ltd,5100200005,2025-02-21,128360.78,L&T Infotech,0.0,0.0,0.0,INR,1003,CC-HR-004,400100,IMMED,150,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,
6,1000,1000,4500100006,0010,ZNB,IT Consulting Services,1000008,HEXW,IT Services,5000100006,2024-12-27,2024,44.048,1733550.67,Hexaware Technologies Ltd,5100200006,2025-01-31,433387.67,Hexaware Tech Ltd,0.0,0.0,-1300163.0,INR,1003,CC-FIN-001,400300,IMMED,94,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,
7,1000,2000,4500100007,0030,ZSER,Software License Fee,1000002,INFY,IT Services,5000100007,2024-12-21,2024,44.502,1511445.14,Infosys Limited,5100200007,2024-12-27,1511455.14,Infosys,0.0,0.0,10.0,INR,1003,CC-HR-004,400400,NT45,100,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,
8,1000,2000,4500100008,0030,NB,Chemical Compounds,1000009,RIL,Manufacturing,5000100008,2024-12-15,2024,82.457,3444014.55,Reliance Industries Ltd,5100200008,2025-01-28,3444015.55,RIL,0.0,0.0,1.0,INR,1001,CC-MFG-005,400300,IMMED,106,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,
9,1000,2000,4500100009,0020,NB,Industrial Chemicals,1000013,ASPNT,Manufacturing,5000100009,2024-12-07,2024,131.776,768714.52,Asian Paints Ltd,5100200009,2025-02-01,768724.52,Asian Paints Ltd.,0.0,0.0,10.0,INR,1003,CC-IT-002,400300,NT60,114,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,
10,1000,1000,4500100010,0020,ZNB,Cybersecurity Services,1000001,TCSL,IT Services,5000100010,2024-11-23,2024,53.517,6482985.59,Tata Consultancy Services Ltd,5100200010,2025-01-03,6353325.88,Tata Consultancy Services,129659.71,0.0,-129659.71,INR,1001,CC-MFG-005,400500,IMMED,128,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,
11,1000,1000,4500100011,0030,ZNB,Data Migration Services,1000001,TCSL,IT Services,5000100011,2025-02-21,2025,125.654,79370.21,Tata Consultancy Services Ltd,5100200011,2025-03-19,39685.11,TCS Limited,0.0,0.0,-39685.1,EUR,1001,CC-OPS-003,400100,NT30,38,31-60 Days,PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,
12,1000,2000,4500100012,0020,ZSER,Engineering Consultancy,1000015,ABB,Engineering,5000100012,2024-12-05,2024,42.315,1429749.14,ABB India Limited,5100200012,2025-02-15,1429749.14,ABB India,0.0,0.0,0.0,INR,1003,CC-IT-002,400200,NT15,116,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,
13,1000,1000,4500100013,0010,ZSER,Electrical Equipment,1000016,BSCH,Engineering,5000100013,2024-12-25,2024,159.457,67242.33,Bosch Limited,5100200013,2025-02-07,67242.33,Bosch Limited,0.0,0.0,0.0,USD,1004,CC-IT-002,400100,NT15,96,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,
14,1000,1000,4500100014,0040,NB,IT Consulting Services,1000001,TCSL,IT Services,5000100014,2024-10-14,2024,69.136,1633278.45,Tata Consultancy Services Ltd,5100200014,2024-12-03,1633278.45,Tata Consultancy Services Ltd,0.0,0.0,0.0,INR,1003,CC-HR-004,400300,IMMED,168,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,
15,1000,2000,4500100015,0030,ZSER,Software License Fee,1000008,HEXW,IT Services,5000100015,2025-02-22,2025,183.843,4829459.17,Hexaware Technologies Ltd,5100200015,2025-04-07,4829459.17,Hexaware Technologies Ltd,0.0,0.0,0.0,INR,1002,CC-FIN-001,400400,NT60,37,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,,,,
16,1000,1000,4500100016,0040,ZSER,Annual Maintenance Contract,1000005,LTI,IT Services,5000100016,2024-12-31,2024,174.304,8084431.59,Larsen & Toubro Infotech Ltd,5100200016,2025-02-19,8084431.58,L&T Infotech Ltd,0.0,0.0,-0.01,INR,1002,CC-IT-002,400500,IMMED,90,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,
17,1000,1000,4500100017,0050,ZSER,Equipment Maintenance,1000014,SIEM,Engineering,5000100017,2024-10-05,2024,46.988,2756678.13,Siemens Ltd,5100200017,2024-11-25,2067508.6,SIEMENS LIMITED,0.0,0.0,-689169.53,INR,1002,CC-OPS-003,400200,NT15,177,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (75% of PO value),,,,
18,1000,2000,4500100018,0050,ZNB,Electrical Equipment,1000015,ABB,Engineering,5000100018,2025-02-28,2025,79.909,954365.12,ABB India Limited,5100200018,2025-03-01,954365.37,A.B.B. India,0.0,0.0,0.25,INR,1001,CC-IT-002,400200,NT60,31,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,
19,1000,1000,4500100019,0020,ZNB,Packaging Material,1000010,TATST,Manufacturing,5000100019,2025-03-25,2025,64.148,401080.96,Tata Steel Limited,5100200019,2025-04-12,401079.96,TATA STEEL LIMITED,0.0,0.0,-1.0,INR,1003,CC-FIN-001,400400,NT30,6,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,
